type	ID	rowID	diff
N	d336b4e2-0317-45e8-a446-72d6dce24848	-1	1
N	f15707a2-2423-4cdb-a4e5-611a348101dc	-1	2
F1	2a96f9f8-0b83-4742-bd2f-03a5f81c6b99_1	-1	2
N	816815bb-fada-43e8-b5ae-98717c4f21ce	-1	538
N	8017c1df-4bfd-476e-b9f4-94619888115b	-1	1
F1	2050374b-7cd0-4a3a-aa64-adcc81782bc8	-1	0
N	f0165320-dcf0-4d06-88e3-568279406fca	-1	2
F1	f81e5fdf-b36a-4491-ba85-3858a1451059	-1	1
N	83a207aa-b9a3-4598-8888-22a4cbf8f2f6	0	8
N	85035c48-c267-4880-8dfa-879304ce8284	-1	0
N	c4df0758-3b6c-439d-95a7-44513626237f	-1	0
F1	31276365-a4a7-455d-b31d-36c8fcf587d6_1	-1	3
N	86daf8aa-dcd5-4e8a-864b-cadb0ecae44d	-1	3
N	16201111-621e-41bf-b5e3-8b875eae6db1	-1	8
N	9d72dbf7-553f-4261-a2db-ef0a67757b99	-1	0
N	d610279b-4218-40d4-9bdc-f54b6c2f189e	1	3
N	c7b551d2-7bed-4cba-ae7b-4819181e47e8	-1	3
N	25d8032b-244f-4e16-88d4-1b1ce4c8b92b	-1	3
N	2ef6abde-434a-4638-8aeb-f57df2cb85bc_1	-1	537
N	47fa5fa4-fbb5-47aa-9dfd-6acae7f37408	1	8
N	e2601523-2025-4efd-93ad-73e487c52680	-1	3
F1	91c89c68-4bfa-4287-81f5-e6a8000d5369	-1	2
N	d2e647cd-de60-4f5b-b27f-aa74d7cc164d	0	129
F1	56e70b5c-34ca-4a9e-9060-7f8535305710	-1	1
N	8778189e-bf68-482b-a7a4-5d5ca547b2de	-1	2
N	d686ca4a-764a-4ce8-b34f-d7c711b1dddc_1	-1	2
N	ec7f135d-e3b2-4412-8ce3-1341720b412b	-1	2
F1	620d3773-9a8f-41d2-99eb-915aef43f59e_1	-1	2
F1	6441e688-5452-4d59-85c3-73dcf6ce1537	-1	0
N	c2b38a5d-21e1-4ed3-a16c-4a261bfab3ca_1	-1	5
N	6a93c6bc-c666-4c6d-8e5b-d4783120bb75	-1	1
N	dd54c766-04ac-4cb2-a983-f36948d3b4ca	-1	9
N	3be545a3-612b-4ee0-810f-f654b855a0dc	-1	7
N	3f9b9666-36a6-490c-a0d0-813d992a5ef8	-1	0
N	ffc3710a-7314-4a0e-906c-cdce113d9fe6	-1	91
F1	7eb99694-5eb9-4c55-9241-0a05d71d0cdd	-1	3
N	04f0807f-b57a-4ef9-a165-6708060cdaae	-1	2
N	e181ceb9-0e43-4bad-9772-5fc3751c9df9	-1	2
N	4a629964-d1b6-49eb-8e97-f110e7802d22	-1	0
N	bc571882-833c-488d-bc2b-a18e0edd2ebd	-1	2
F1	1deb55ff-57e9-4d00-a015-f32a0fabd9e1_1	-1	0
N	1deb55ff-57e9-4d00-a015-f32a0fabd9e1_2	-1	3
N	b8e5c767-ee95-4a84-8860-961174199751	-1	5
N	0061c9f8-2126-4679-ab4e-e8f4a9bca1f2_1	-1	2
N	7659e51d-db50-4a4d-b44e-58efaf5831d3_1	-1	0
N	75a9e243-3bfd-4e14-9388-d347542e8e30	-1	4
