	0
acf9788a-3d7f-449d-8e5a-1d2c44cec5da	1093
6c0c8afe-a394-4e38-b190-b50ff33bf387	1116
50c11ce7-a6ad-42e3-ba39-f705c83bacdd	1071
bf2b2484-47aa-4197-bf85-ecbfc9fe803e	1587
147b8237-37d3-46a6-b15c-9129d152e6f4	1336
b54682a7-bf9b-46bb-ac46-8f98b61cbeeb	2201
6553a860-3f05-480c-82da-430df9746fd2	1741
5cc09eba-88a0-4582-8777-72f800878d63	548
7e452b1e-9e4a-4b05-91e8-ebb464c9ac99	611
5c222795-9f90-4206-9738-2e633e02083a	619
50eb8874-aff4-4702-9286-e27ac43d01b0	2181
0a5505a8-62d5-4651-bdb4-a5602517bebc	953
ba81f28a-3ef0-46d9-bb00-c27a3e81d6d4	1288
8fb58eef-a067-4d19-94d3-cda83720a84b	1182
b5f89939-7942-4a35-93c9-9c26c4cb720e	1771
3cdef778-0fba-4f09-a163-e3c4e1c6f35b	1722
86c6ab91-0ed7-41a8-8961-901548a55616	1084
975fef3b-0ca4-470c-8a9b-f37b1102128e	960
fe254e1c-86f0-4503-a008-b3fa96fdeb49	2122
a124847c-2df1-40c7-ac4f-906c25a97140	962
ed8c9f3b-ef3c-4aa1-b3a0-fc17fe86fa16	982
d8f8077a-be14-4c96-b6dd-3c4d8ef38425	1345
7b7b779d-a45d-42f5-b6ab-4e3e9230a1cc	1154
22d42c1b-ab1f-499c-a04b-c06a8545c31f	1531
a0194b15-11e3-467d-96e4-34a3848723ee	802
1853ffa2-fbf5-40e0-8ec3-c959420f50da	2258
b1f454a4-60c0-4158-b85f-83120c510e67	1676
d020e56e-09f5-4d77-9eb6-a98a80d3871e	704
20bcd19f-08d4-4e84-b3f9-cdc643d6ea7c	1646
2bbc9086-4720-450c-a225-ab6e18d501f6	762
9fa55c51-b03c-4dd0-90cc-f8ac65e4588d	1150
a1c73142-0626-4196-a3da-8fed75809513	1212
8a3fa986-8019-44b9-94cd-b97cc02f92b1	1672
348cc9ba-a988-4a82-92f6-a7aef85a86bc	1135
27a8775e-45fd-4711-a442-8f74a1cdef4c	1377
e1909f0a-5951-448f-b8d6-797c162c7bf8	1103
c59deddf-0941-4826-b70f-f935579a2624	1737
605a2562-d98c-4ad8-adef-0d7f35abb135	1513
575a0436-90b2-4b38-bbac-34aeaf009cd0	1094
0f18ac06-f5e4-4a70-9c99-b707daa1df95	1512
75211355-8211-4174-ae6a-41991a29e3e3	1193
a6ba1ae0-b197-4403-9c9f-4a2dd2832002	1075
c4632ba5-fe2d-48e3-8991-7f1668473a04	1823
628717a0-7dac-4c70-9d3c-c81927b78483	1253
d134cf71-f342-4993-a479-92dcf2f470c2	1223
5561a82e-5278-48ae-80da-d83312f96fe7	1612
f397d4dd-7eb9-451c-87ec-fcdd4a3e1c7b	1405
82a78621-a9d7-47bd-98cf-e242cdeb41c7	1261
a4d05fef-e1c8-4216-b99e-3563164a302f	1826
f93de55b-bb13-46e4-a2a9-c10181c0cfa5	978
c687a513-d75e-4c00-aa77-5c7176430fe0	1302
47d37a66-bb8a-4341-9ca3-a31072c263fa	1236
b3b29775-5a28-45f7-b71c-711799519199	1246
1a335695-8976-4648-8419-6b662f2704ae	2046
51e5b317-7f34-48e5-a309-4a1ebe1e57fa	1556
a2f48115-f802-443b-869c-e3291f0b22d4	1785
c77a6228-45c9-4838-87a5-74568e0af5a6	2366
0327b207-f924-4953-8d44-41bacec7b4bb	2285
22f9d361-f9ae-4547-9b81-ec5e1723864a	734
d2b8066e-61d1-449f-8687-fdb710dd2c3d	829
cfbe88e5-2e97-4077-8ed0-9da5290512f7	1474
706ec5dd-249f-4022-983a-28d70e1b540b	1207
4ac0336f-9262-4482-a918-eec686fef6e8	554
19780b6f-7738-41c3-8065-d134790f49b9	1419
91df48bc-c46c-4114-8cfd-840feeb38fde	1449
4b032569-edb5-440e-8173-8e551f83742f	1188
2ba3fc63-112c-4f3e-a1ff-03d4af5178ad	1125
4069015a-362a-477a-b5e9-5fdd41f17fca	726
7660d56e-c877-4e91-aeaa-ac29c6b10cf0	840
87abe02e-a30d-44e2-a230-4ec5f28a18f9	1047
bfff1ee0-9e6d-444f-b700-40613fd82ee2	1320
772f7028-07cb-4c66-827e-5a8ffc839f03	1563
cf00d563-3454-4063-9023-14712d7910e6	828
04d19c1d-5670-409a-86e3-e5a9a4b96012	1574
b3325ac5-0894-4b37-bb50-1d0804f295fd	814
d57fa134-620f-4c62-9976-e45f972174dc	1173
6f51954b-ff0f-4c4e-b28a-6730b3e6fb0d	1688
ffbb773e-e786-4e39-af6a-e5ebd9574b0c	1047
6b925801-c279-4924-b52b-e4e4c10c40ea	1149
c2ae4e45-5774-4307-82b3-554ea3c2b8ac	1094
9f98a02e-880b-46c6-b718-72a45780ebb9	838
83b204ea-8c5b-4517-88c9-42207f4fe603	1140
790d43fc-e0e2-49f0-9899-76a1eae9a323	713
e2c5f549-f683-40f3-86d6-7f6ef473146a	1389
00fee392-e730-42be-9b66-34c120c8b891	845
cd085810-b5c4-41df-98a5-0bae7df79947	705
9499acf3-1e96-4035-acef-def9d251a3eb	851
c89bcc6c-0c39-46a7-b039-37084a7ecc82	1120
d0d32b37-24c2-469f-8add-2686b5e5faed	1293
41b49824-4ebb-4fe7-bb52-34ba5997f7d0	1135
42f397bb-e15a-40db-b50a-6e715377f49c	1241
52739e46-869e-4c01-9497-e0fcaeec649a	847
60b10a19-72ab-46f7-a2c2-7b0215edadbf	790
ad8ccf7a-44a3-446e-8c55-ce64220b4aae	2625
153e9720-f2dc-47f2-941c-6dd60a04b5ac	1111
32c05ee5-7b5e-425e-ac14-f797b6230dc3	1293
51c1f340-ed9e-4e22-a382-5b53ea451da6	1058
927efdd1-ad70-4d69-80f6-5a2bdac2d75c	1118
ce8f5e8e-466b-4717-a97a-2ef6637f9ee9	903
f2e45afb-3629-4f41-b3f0-9f3c7c0a4be7	1397
b5d7b432-da82-41b1-af0a-942f5143e8be	1504
f33210ec-42a2-4b05-a6dd-bc57235ab72d	1213
ec4194b4-528f-42f5-a7ac-acc92725306e	1381
43adda62-6768-4c4b-8bc4-8501c93352e0	1301
bf424fd5-86f6-4fd9-b31a-00ae7e09574e	976
170e7d99-ed78-43f3-a8ad-5beedecdbc16	1341
093e4712-54f7-42a7-ad26-dfbfc90807f0	938
8f7e573b-71c6-4837-b06b-f6a67f4c1a89	965
2bdc3b1d-7261-4e50-aa6a-307854ec9ae0	1754
da8b5799-0987-4edb-a490-091db32c4803	589
f42404e1-b1a6-492f-89f7-1a6a8dceede9	1533
9026d9d3-f14c-4a56-95f0-603bac1ff892	1079
6296bbee-a6e4-4c3a-85c5-369963da6382	1012
d329ba5f-cbdd-4f14-82fc-73492c8ab45b	1589
41b1b7ad-be74-4c36-ba2b-4df7b18898ce	947
b567967b-46fe-4cf1-b75e-6987c6146df6	957
c9a71d1b-4715-45f0-b071-1091991a08eb	1499
c19499fe-9c01-447c-92a0-362f85014fbb	1355
5a04c9a5-053e-4f46-9bdd-508ec57ea577	1541
66f5d2e5-bab0-4330-9be1-2f8fd5466799	1366
4ced686e-fe27-4065-8374-95b14732c773	1353
042de2cd-aaa7-4346-8740-3a221ae49a3b	1047
6cf7bad9-f4ce-4072-b1e9-4bb16aee7f6d	1250
fab3acb0-01e5-4855-84c4-8404dcc5b78e	1232
6692f437-37ef-4f4b-8974-4a4bc963d31b	1289
eb0ed5f8-9b0f-4649-8f65-4834347e47c9	956
89eb130f-fb87-45d4-b73b-a220c16d47f7	1059
62e737f3-9afa-499d-be78-b5a4b24d4617	1273
e6a5de7b-6e04-4c8a-a843-7d8740681f2c	877
a9d6c94b-8a2b-4308-831e-28b1d2d342b2	1055
05f1a411-03c5-451d-a519-eeea5841f78d	1048
cbf9d8b9-5c2e-41b3-923c-735a50a14b52	1620
46167cc9-be74-4e19-b1de-a65369da5673	838
1a049796-c2a2-4e9b-b51a-fc4d86f3a300	1623
b8ced3df-0a6c-4809-a3dd-e075364d79f9	1545
9ed1ab5f-76da-48e3-89ac-266f9cae947c	1385
fa0eb9d8-0650-4a74-bf39-73774ff45b21	1720
34a4a80d-5b85-4882-b573-85ca1cbf6887	1364
54e87d0b-98ba-48c8-a4a5-e11e7e1b6354	1607
88d861a7-8cb4-42ad-8a39-181fd2040469	1370
2aa3edfa-1994-4b3b-9609-7c151b128ccd	1412
bcb47e46-a5b5-4de1-93ff-5c6820c6bb5a	1306
9d21fe6e-d0c5-4e8b-b0ca-84ae14833802	1284
3a748651-9364-4388-a099-51dcc4d9dd84	2045
8e766897-dd76-4d90-ba13-b4b57f6322e8	1249
4ce8bd68-68f6-4f66-add0-12864d9458da	1695
