type	ID	rowID	diff
F1	3e8c44ac-3be7-412d-a00f-7b3d837fa7be	-1	2
N	3f22a45d-6916-494f-9311-ac8af149a0f0	-1	2
N	4098bc5f-3476-4914-8140-ae3f0c99fb38	-1	2
N	4155e5b2-593e-49b5-bddb-cebe31fe3fcb_1	-1	2
N	421af1e0-68f8-4d53-9880-8c60e54e4cab	-1	2
F1	42807329-4d16-4060-8196-c1c076b9cc1e	-1	2
N	42e5b871-7424-4cdc-b3de-4ae922bc97c7	-1	17
FC1	4312a466-7dd6-459f-968e-86bd6d465636	-1	1
N	435f4661-f2e7-4595-8414-9c8e008d1e1a_1	-1	1
N	44cc0d71-fece-4441-9c8f-8996b06c4731	-1	2
F1	45fd7c4a-e709-4a16-8993-731e78a83560	-1	1
N	463ce175-0bb7-488e-9831-770b09d6c642	-1	3
N	4773c347-ef0e-4ba6-8f5c-4b6ed0f9c378	-1	1
N	47dd7b44-c8fe-4b67-b1b3-07aae710480c	-1	1
F1	4896e39c-3073-4ce9-bc16-e115629a7ec6	-1	1
N	48ea6643-7e9e-4891-a2af-1907908591ed	-1	1
N	4a15b2b1-0ebe-4211-93f1-0120231c771f	-1	1
N	4ab7702e-2c92-462f-b420-03878d9314b2	-1	404
N	4b032569-edb5-440e-8173-8e551f83742f	-1	405
N	4c5770a8-fac5-40e3-9296-dc5505b8dbbc	-1	3
N	4ce8bd68-68f6-4f66-add0-12864d9458da_1	1	2
N	4d22952a-23bf-4c9b-8ff3-02a3df90ec8a	-1	9
FC1	4fcefdaf-3498-4743-9170-87edf65f0782_1	-1	102
N	5074d7c1-010b-4ac7-94db-ff72a9cff02a	-1	3
N	50eb8874-aff4-4702-9286-e27ac43d01b0	-1	2
N	511011f9-f193-4af6-b164-984865461a60	-1	7
N	51c1f340-ed9e-4e22-a382-5b53ea451da6	-1	1
N	52857659-7f7d-444c-930b-d3a95a971581	-1	1
N	53697f06-7bcb-46c7-8e24-1ee5a46da6a3	-1	3
N	54f86967-b7a3-409d-993d-fac416dc62fe	-1	2
N	55b3f33d-a40a-4603-b565-f49d12312562	-1	2
FC1	568a8cba-4912-4593-bd73-539f9d573bb5	-1	2
N	5717cc5f-69d8-4076-a808-81404358431b	-1	2
N	57ac3624-3f81-4e89-b458-5804d7ad5ad0	-1	2
N	582e4a40-06c8-4525-a4e7-0b904d8f833a	-1	4
N	5896d90c-a5be-4c95-a110-215fa4e2c6a8	-1	3
N	598859f9-481a-4fcd-a050-ca1af223765e	-1	2
F1	5b06923a-ca7a-4986-92ad-b56af2900785_1	-1	2
C1	5b4e99dc-4315-4150-8656-7d83257a8b0e	-1	0
N	5bbe4c66-4e02-4853-ba51-073bb7ac52ba	-1	68
N	5c876540-a2e6-4a84-8ea4-6585bc1011a8	-1	359
N	5cef60bc-291c-4817-bca7-ae371de6b862	-1	2
N	5d7498cd-df11-4342-b5e7-ccd5a927e5e6	-1	321
N	5f8a6d56-76c7-4351-b291-ebed7059b73f	-1	32
M	60c16311-9574-4b54-b4c7-192cd55f8b2f_1	-1	0
C1	613921c3-50a0-493a-b6f2-ce289ff96abf	-1	488
FC1	620d3773-9a8f-41d2-99eb-915aef43f59e_1	-1	2
N	62d1ddaa-1a4d-4081-be20-d243ada134e8	-1	1
N	62fddf6e-2fc1-4f3b-8c4d-5dbd15a9ff83	-1	3
N	63c98751-02d6-457e-b70f-d83437c378be	-1	2
N	6496de92-cfbd-4247-89c4-1ccd74d7fdfd	-1	0
N	655d6ca5-94a0-46fa-a65b-73a724cb421f	-1	10
N	66957d8a-c79e-4183-9d67-b09674d43e34	-1	5
N	66f5d2e5-bab0-4330-9be1-2f8fd5466799	2	324
N	68b353b0-cacc-4a07-8248-7c29072106f4	-1	6
C1	69ce334f-3177-4697-b74c-835bc516c0be	-1	2
N	6b925801-c279-4924-b52b-e4e4c10c40ea	-1	41
N	6c21883c-1495-404f-9959-0c15d3186248	-1	2
N	6c9486af-a6bb-4465-ab7b-4be9f16b521c	-1	3
FC1	6cf7bad9-f4ce-4072-b1e9-4bb16aee7f6d_1	-1	12
N	6d5ffae2-6e22-4ce3-96c8-b665f8e8c520	-1	3
N	6de5d646-999b-4682-9457-61b97b31d4fd	-1	1
N	6e73b0e3-2ebf-4810-8ea1-30e9d530d58a	-1	3
N	6f284cbb-18d5-4bf7-b289-bc5b6a1215ff	-1	2
N	6f88953c-5d13-4e7a-9262-7e1c2b3dcc3c	-1	4
N	70813acb-64b5-4f07-9933-62cf7eedf21f	-1	40
N	712c2ba4-1cdf-4a1e-8b6c-a27fe15e86ca_1	-1	256
N	7262c900-e936-4a05-9775-3c92a57320f9	-1	2
FC1	728e436c-ad5a-4be6-afe9-093596a7a055	-1	1
N	7356c141-45bd-469b-8a53-3859cf62779e	-1	16
N	73a215f4-1b6c-40f1-944b-d799c5d3a1e4	-1	2
N	73c448e1-1fc6-4d33-a105-4868bda7c135	-1	0
N	74bb277e-09fd-4627-87d4-7909164150b5	2	421
N	75a9e243-3bfd-4e14-9388-d347542e8e30	-1	4
N	75d565b1-1e35-4490-92a0-e16e5905334b	-1	1
N	760fe32c-5c69-4c5f-9e48-dfbd493753ca	-1	23
N	770b9221-3fc3-4dd5-bdaa-0f57c49a92b5_1	-1	0
